Run, Random state, Dimension, Useful dim., Method, no. of stages, samples per stage, no. of samples, no. of evaluations, Wall-clock time, Result, Benchmark
1,1,30,3,TMCMC,15,5000,75000,1073741824,69.10375834,13.45478027,12.10716185
1,1,30,3,MC,1,750000,750000,0,16.63735223,11.36285126,12.10716185
2,2,30,3,TMCMC,15,5000,75000,1073741824,84.84635234,14.16907349,12.10716185
2,2,30,3,MC,1,750000,750000,0,12.44206142,11.42154736,12.10716185
3,3,30,3,TMCMC,15,5000,75000,1073741824,70.28766608,14.14799918,12.10716185
3,3,30,3,MC,1,750000,750000,0,12.45766759,12.59966644,12.10716185
4,4,30,3,TMCMC,16,5000,80000,1073741824,73.21013165,12.53421023,12.10716185
4,4,30,3,MC,1,800000,800000,0,13.32168174,11.31572533,12.10716185
5,5,30,3,TMCMC,15,5000,75000,1073741824,68.95830321,12.27997907,12.10716185
5,5,30,3,MC,1,750000,750000,0,12.44708848,12.17663928,12.10716185
6,6,30,3,TMCMC,15,5000,75000,1073741824,69.20932579,12.52657845,12.10716185
6,6,30,3,MC,1,750000,750000,0,12.5058856,11.43223427,12.10716185
7,7,30,3,TMCMC,15,5000,75000,1073741824,66.52130032,12.7094929,12.10716185
7,7,30,3,MC,1,750000,750000,0,12.36324549,10.27977798,12.10716185
8,8,30,3,TMCMC,15,5000,75000,1073741824,70.55824113,11.95595772,12.10716185
8,8,30,3,MC,1,750000,750000,0,12.44496417,11.23826387,12.10716185
9,9,30,3,TMCMC,15,5000,75000,1073741824,69.04161549,13.54475079,12.10716185
9,9,30,3,MC,1,750000,750000,0,12.48564506,10.71062898,12.10716185
10,10,30,3,TMCMC,15,5000,75000,1073741824,69.6175971,12.19586781,12.10716185
10,10,30,3,MC,1,750000,750000,0,12.38555026,10.0368277,12.10716185
11,1,50,3,TMCMC,15,5000,75000,1.1259E+15,125.4056175,9.220017489,10.79390332
11,1,50,3,MC,1,750000,750000,0,12.65682268,15.94860722,10.79390332
12,2,50,3,TMCMC,15,5000,75000,1.1259E+15,131.1091478,11.25634341,10.79390332
12,2,50,3,MC,1,750000,750000,0,12.54309535,7.870007145,10.79390332
13,3,50,3,TMCMC,16,5000,80000,1.1259E+15,151.5065739,11.91422042,10.79390332
13,3,50,3,MC,1,800000,800000,0,13.36534047,11.32115126,10.79390332
14,4,50,3,TMCMC,15,5000,75000,1.1259E+15,132.5723805,13.5648937,10.79390332
14,4,50,3,MC,1,750000,750000,0,12.33637714,12.80022333,10.79390332
15,5,50,3,TMCMC,15,5000,75000,1.1259E+15,133.778125,11.72166818,10.79390332
15,5,50,3,MC,1,750000,750000,0,12.49810481,9.928751566,10.79390332
16,6,50,3,TMCMC,16,5000,80000,1.1259E+15,149.1910627,11.95968447,10.79390332
16,6,50,3,MC,1,800000,800000,0,13.28723097,12.05776751,10.79390332
17,7,50,3,TMCMC,15,5000,75000,1.1259E+15,133.5612626,10.78505369,10.79390332
17,7,50,3,MC,1,750000,750000,0,12.71089625,9.208665029,10.79390332
18,8,50,3,TMCMC,15,5000,75000,1.1259E+15,135.6605213,10.60837916,10.79390332
18,8,50,3,MC,1,750000,750000,0,12.6802907,9.140037151,10.79390332
19,9,50,3,TMCMC,15,5000,75000,1.1259E+15,136.5233572,11.92659176,10.79390332
19,9,50,3,MC,1,750000,750000,0,12.57945514,11.51481609,10.79390332
20,10,50,3,TMCMC,15,5000,75000,1.1259E+15,132.5308707,11.26308701,10.79390332
20,10,50,3,MC,1,750000,750000,0,12.67622471,9.622136703,10.79390332
21,1,50,5,TMCMC,19,5000,95000,1.1259E+15,169.5027599,47.35471246,51.36259252
21,1,50,5,MC,1,950000,950000,0,15.76342869,28.51706948,51.36259252
22,2,50,5,TMCMC,19,5000,95000,1.1259E+15,178.4162536,47.64924215,51.36259252
22,2,50,5,MC,1,950000,950000,0,15.91680932,20.70915183,51.36259252
23,3,50,5,TMCMC,18,5000,90000,1.1259E+15,166.735265,46.34112787,51.36259252
23,3,50,5,MC,1,900000,900000,0,14.9884398,22.86649113,51.36259252
24,4,50,5,TMCMC,19,5000,95000,1.1259E+15,169.108758,48.78509271,51.36259252
24,4,50,5,MC,1,950000,950000,0,15.90434098,23.60800055,51.36259252
25,5,50,5,TMCMC,19,5000,95000,1.1259E+15,179.40447,52.56686742,51.36259252
25,5,50,5,MC,1,950000,950000,0,15.69608378,21.08682637,51.36259252
26,6,50,5,TMCMC,18,5000,90000,1.1259E+15,170.437093,43.37566104,51.36259252
26,6,50,5,MC,1,900000,900000,0,15.07421494,21.72680103,51.36259252
27,7,50,5,TMCMC,18,5000,90000,1.1259E+15,158.0117073,39.6964922,51.36259252
27,7,50,5,MC,1,900000,900000,0,14.86715102,23.14392735,51.36259252
28,8,50,5,TMCMC,19,5000,95000,1.1259E+15,174.6741714,37.59398066,51.36259252
28,8,50,5,MC,1,950000,950000,0,15.80688071,22.04820553,51.36259252
29,9,50,5,TMCMC,19,5000,95000,1.1259E+15,178.4477644,65.68723449,51.36259252
29,9,50,5,MC,1,950000,950000,0,15.70111036,20.67670422,51.36259252
30,10,50,5,TMCMC,19,5000,95000,1.1259E+15,172.1629343,45.21756777,51.36259252
30,10,50,5,MC,1,950000,950000,0,15.85791707,23.33718352,51.36259252
