Run, Random state, Dimension, Method, no. of stages, samples per stage, no. of samples, no. of evaluations, Wall-clock time, Result, Benchmark
1,1,5,TMCMC,7,5000,35000,32,19.56490564,2.211438354,2.204781839
1,1,5,MC,1,350000,350000,0,4.112324715,2.202523857,2.204781839
1,1,5,RB,-99,-99,-99,350000,-99,2.204782839,2.204781839
2,2,5,TMCMC,7,5000,35000,32,19.76045775,2.208796116,2.204781839
2,2,5,MC,1,350000,350000,0,4.188757896,2.201146714,2.204781839
2,2,5,RB,-99,-99,-99,350000,-99,2.204782839,2.204781839
3,3,5,TMCMC,7,5000,35000,32,19.7296257,2.234759773,2.204781839
3,3,5,MC,1,350000,350000,0,4.045490265,2.197832429,2.204781839
3,3,5,RB,-99,-99,-99,350000,-99,2.204782839,2.204781839
4,4,5,TMCMC,7,5000,35000,32,19.51263404,2.218214795,2.204781839
4,4,5,MC,1,350000,350000,0,4.17145896,2.205106714,2.204781839
4,4,5,RB,-99,-99,-99,350000,-99,2.204782839,2.204781839
5,5,5,TMCMC,7,5000,35000,32,19.84950328,2.210312201,2.204781839
5,5,5,MC,1,350000,350000,0,4.114990234,2.204321,2.204781839
5,5,5,RB,-99,-99,-99,350000,-99,2.204782839,2.204781839
6,1,10,TMCMC,6,5000,30000,1024,16.33912754,7.503089494,7.527399031
6,1,10,MC,1,300000,300000,0,3.581912994,7.537357667,7.527399031
6,1,10,RB,-99,-99,-99,300000,-99,7.527400031,7.527399031
7,2,10,TMCMC,6,5000,30000,1024,16.43832755,7.605689281,7.527399031
7,2,10,MC,1,300000,300000,0,3.537065029,7.532054333,7.527399031
7,2,10,RB,-99,-99,-99,300000,-99,7.527400031,7.527399031
8,3,10,TMCMC,6,5000,30000,1024,16.86851263,7.580196623,7.527399031
8,3,10,MC,1,300000,300000,0,3.548026562,7.523621,7.527399031
8,3,10,RB,-99,-99,-99,300000,-99,7.527400031,7.527399031
9,4,10,TMCMC,6,5000,30000,1024,15.95248079,7.468994017,7.527399031
9,4,10,MC,1,300000,300000,0,3.571237326,7.539511,7.527399031
9,4,10,RB,-99,-99,-99,300000,-99,7.527400031,7.527399031
10,5,10,TMCMC,6,5000,30000,1024,16.31995988,7.371495222,7.527399031
10,5,10,MC,1,300000,300000,0,3.586574793,7.520404333,7.527399031
10,5,10,RB,-99,-99,-99,300000,-99,7.527400031,7.527399031
11,1,30,TMCMC,4,5000,20000,1073741824,10.13036847,38.78292578,39.44880445
11,1,30,MC,1,200000,200000,0,2.444720507,39.473981,39.44880445
11,1,30,RB,-99,-99,-99,200000,-99,16.67149817,39.44880445
12,2,30,TMCMC,4,5000,20000,1073741824,10.12169957,39.9778084,39.44880445
12,2,30,MC,1,200000,200000,0,2.433675528,39.517926,39.44880445
12,2,30,RB,-99,-99,-99,200000,-99,16.67149817,39.44880445
13,3,30,TMCMC,4,5000,20000,1073741824,10.08652735,39.21433778,39.44880445
13,3,30,MC,1,200000,200000,0,2.466763258,39.341751,39.44880445
13,3,30,RB,-99,-99,-99,200000,-99,16.67149817,39.44880445
14,4,30,TMCMC,4,5000,20000,1073741824,10.14515233,39.68010471,39.44880445
14,4,30,MC,1,200000,200000,0,2.453243732,39.535331,39.44880445
14,4,30,RB,-99,-99,-99,200000,-99,16.67149817,39.44880445
15,5,30,TMCMC,4,5000,20000,1073741824,10.18110895,39.68869831,39.44880445
15,5,30,MC,1,200000,200000,0,2.472659349,39.401626,39.44880445
15,5,30,RB,-99,-99,-99,200000,-99,16.67149817,39.44880445
16,1,50,TMCMC,3,5000,15000,1.1259E+15,15.17644882,91.87324372,91.40537147
16,1,50,MC,1,150000,150000,0,1.889156818,91.42924767,91.40537147
16,1,50,RB,-99,-99,-99,150000,-99,0.709401953,91.40537147
17,2,50,TMCMC,3,5000,15000,1.1259E+15,14.67360139,92.3711557,91.40537147
17,2,50,MC,1,150000,150000,0,1.935198307,91.44976767,91.40537147
17,2,50,RB,-99,-99,-99,150000,-99,0.709401953,91.40537147
18,3,50,TMCMC,3,5000,15000,1.1259E+15,13.81016374,91.58852496,91.40537147
18,3,50,MC,1,150000,150000,0,1.867936134,91.181661,91.40537147
18,3,50,RB,-99,-99,-99,150000,-99,0.709401953,91.40537147
19,4,50,TMCMC,3,5000,15000,1.1259E+15,13.86364603,91.94088466,91.40537147
19,4,50,MC,1,150000,150000,0,1.902505398,91.42367433,91.40537147
19,4,50,RB,-99,-99,-99,150000,-99,0.709401953,91.40537147
20,5,50,TMCMC,3,5000,15000,1.1259E+15,14.27330446,90.98261414,91.40537147
20,5,50,MC,1,150000,150000,0,1.879170656,91.28978767,91.40537147
20,5,50,RB,-99,-99,-99,150000,-99,0.709401953,91.40537147
